,id,name,age,height,weight
123,1490119,Jessica Androsik,23,,
124,16173,Jessica Coughlan,32,166 cm,145 lb
125,259327,Joey Kimdon,43,61 in,125 lb
126,452187,Carol Colling,28,157 cm,57 kg
127,505225,Michelle Merand,32,158 cm,60 kg
128,784269,Catherine St-Gelais,27,164 cm,140 lb
129,643529,Zoe Ziegler,27,61 in,120 lb
130,9328,Tia Wright,29,64 in,138 lb
131,245145,Nikki Matarazzo,30,152 cm,134 lb
132,555277,Rebecca Fuselier,21,62 in,125 lb
133,690876,Elena Budz,22,63 in,133 lb
134,152663,Alison Scudds,28,63 in,140 lb
135,115239,Brooke Haas,32,63 in,154 lb
136,259805,Jayne McKay,32,172 cm,67 kg
137,571954,Meg Garrett,38,177 cm,160 lb
138,466582,Emiko Naets,31,171 cm,68 kg
139,657705,Helena Collins,32,171 cm,69 kg
140,274725,Nicole Mghenyi,31,65 in,142 lb
141,19117,Lauren Fisher,27,65 in,135 lb
142,666639,Maria Fernanda Robles Siller,29,153 cm,54 kg
143,535855,Luiza Dias,29,151 cm,53 kg
144,694219,Lidia Bartoszewicz,28,168 cm,63 kg
145,37537,Alessandra Pichelli,35,66 in,155 lb
146,663979,Sona Karaskova,33,167 cm,68 kg
147,121354,Corrin Lemieux,38,65 in,147 lb
148,797560,Carly Lucas,24,63 in,135 lb
149,686102,Laurie Pfleiderer,31,157 cm,140 lb
150,246506,Carrie Tobias,31,64 in,138 lb
151,436190,Emma Ferreira,26,68 in,166 lb
152,105626,Katelyn Teager,31,67 in,148 lb
153,50017,Jaime Goodwin,28,156 cm,57 kg
154,114958,Hanne Short,33,170 cm,
155,115892,Meg Reardon,29,66 in,150 lb
156,744648,Hannah Frakes,26,65 in,144 lb
157,265697,Ashley Walden,29,65 in,135 lb
158,656004,Christine Kolenbrander,29,66 in,151 lb
159,245099,Hilary Steele,31,58 in,120 lb
160,756347,Amanda Mackay,27,30 cm,4 kg
161,881701,Chiara Salandra,24,165 cm,61 kg
162,905243,Sapphire Goddard,24,165 cm,66 kg
163,273427,Josie Hamming,26,64 in,148 lb
164,929342,Alexsandra Buzunova,27,,
165,460855,Emelye Dwyer,33,163 cm,63 kg
166,12336,Kelley Jackson,37,62 in,130 lb
167,154472,Samantha Petrich,31,,145 lb
168,51125,Megan Lovegrove,32,158 cm,65 kg
169,1353203,Silvia Garcia Izquierdo,27,165 cm,61 kg
170,510714,Lindsey Porter,21,68 in,150 lb
171,1299203,Maria Camila Quintero,25,155 cm,58 kg
172,92635,Becca Merritt,24,60 in,135 lb
173,1197024,Majesta Valentine,25,64 in,140 lb
174,454187,Selina Paupert,30,67 in,153 lb
175,872981,Antonia Falt-Kottulinsky,28,166 cm,69 kg
176,263982,Danielle Dunlap,31,64 in,133 lb
177,1256504,Amanda Cummins,39,,
178,27310,Colleen Lehane,35,62 in,135 lb
179,330326,Carole Castellani,32,170 cm,70 kg
180,27975,Chyna Cho,34,68 in,148 lb
181,470007,Sophia Knowles,24,163 cm,135 lb
182,817717,Samantha Garihan,27,64 in,130 lb
183,740017,Katharina Isele,26,164 cm,76 kg
184,872325,Lydia Sfyraki,26,170 cm,66 kg
185,505655,Filippa Ferm,21,167 cm,60 kg
186,765768,Manon Saint-Maxent,26,164 cm,54 kg
187,893554,Michelle Basnett,24,65 in,148 lb
188,913941,Lexi Neely,18,62 in,135 lb
189,871307,McKenzie Flinchum,29,65 in,145 lb
190,106129,Carrie Beamer,29,63 in,135 lb
191,458279,Victoria Caruso,30,66 in,160 lb
192,282498,Tommie Deprima,34,63 in,130 lb
193,604393,CeCe Pieper,29,,
194,792192,Ana Martinez,27,2 cm,57 kg
195,1079742,Winter Nicolette Rodriguez,26,65 in,155 lb
196,122496,Natalia Kaczmarska,35,160 cm,67 kg
197,364588,Frederikke Frandsen,30,158 cm,63 kg
198,141620,Alex Parker,31,66 in,142 lb
199,135797,Tennil Beuerlein,33,66 in,158 lb
200,82284,Jasmine Sheehan,32,65 in,138 lb
201,1034822,Ella Wilkinson,21,,
202,887140,Chloe Carano,20,62 in,135 lb
203,747286,Carys Webster,30,176 cm,71 kg
204,763890,Kayla Wall,27,60 in,116 lb
205,525265,Sarah Stejskal,29,67 in,155 lb
206,1247184,Isabel Simonis,23,69 in,70 kg
207,708499,Thais Nunes,30,155 cm,145 lb
208,2099,Harriet Roberts,29,171 cm,149 lb
209,34715,Hayley Murillo,34,69 in,168 lb
210,330548,Jimena Delamer,39,164 cm,63 kg
211,13179,Paige Henry,31,64 in,145 lb
212,1693076,Erica Ekelund,24,163 cm,65 kg
213,117591,Caroline Dardini,29,61 in,124 lb
214,120277,Sabrina Caron,29,161 cm,58 kg
215,434531,Samantha Scorzelli,32,65 in,150 lb
216,1282727,Randel Leahy,24,,
217,1588562,Karisa Stapp,24,,
218,538163,Hannah Hardy,24,64 in,140 lb
219,695821,Julie Hougård,29,173 cm,70 kg
220,276218,Lea Schmidt,29,162 cm,59 kg
221,1001544,Jade Williams,30,,
222,228939,Stacey Marino,35,67 in,145 lb
223,51083,Jenn Ryan,41,62 in,128 lb
224,208293,Alexis Johnson,30,62 in,140 lb
225,1650146,Sophia Shaft,16,60 in,120 lb
226,1814790,Linn Finstad,21,,
227,720003,Julie Vernet,27,,
228,257958,Kirsty Stroud,32,163 cm,145 lb
229,301603,Catrina Stranges,33,65 in,135 lb
230,872275,Caroline Stanley,21,,
231,536902,Nicole Heer,29,167 cm,63 kg
232,1409302,Veslemøy Kollstad,24,,
233,1159125,Justine Firly,27,164 cm,64 kg
234,1313021,Lucy Pacheco,26,,
235,1231017,Aichan Chen,32,165 cm,64 kg
236,645900,Maddy Harris,28,65 in,64 kg
237,527011,Lisa Eble,30,160 cm,145 lb
238,660796,Sarina Ruggiero,24,63 in,120 lb
239,250978,Delfina Ortuño,29,,136 lb
240,752571,Rochelle Steinbergs,29,168 cm,68 kg
241,1330256,Linda Keesman,27,174 cm,73 kg
242,132258,Arielle Loewen,27,63 in,139 lb
243,1314653,Aimee Cringle,22,167 cm,64 kg
244,882328,Jennifer Brasseur,29,158 cm,58 kg
245,226482,Jenna Larson,42,65 in,145 lb
246,733584,Devyn Kim,19,65 in,140 lb
247,918656,Tanha Bouffe,22,161 cm,70 kg
248,1058374,Marie Robin,24,,
249,873895,Kyra Milligan,24,,135 lb
250,487221,Louise Cederblad,37,170 cm,66 kg
251,318830,Lauren Weeks,31,64 in,130 lb
252,635118,Claudia Reque,26,60 in,130 lb
253,244371,Gemma Root,35,67 in,135 lb
254,1180269,Florence Sidler,29,165 cm,64 kg
255,706683,Lumma Roberta,31,,
256,1323066,Shaylin Laure,28,65 in,150 lb
257,16703,Carly Menzies,33,164 cm,65 kg
258,159681,Regan Huckaby,34,65 in,150 lb
259,510988,Zoe Warren,22,61 in,120 lb
260,1558034,Julia Kato,21,,
261,914030,Emily DeFeo,24,64 in,150 lb
262,161037,Caileigh McDade,32,63 in,135 lb
263,293492,Alexys D'Tiole,30,66 in,150 lb
264,1811669,Larissa Salazar,25,,
265,471547,Andrea White,34,61 in,143 lb
266,912927,Maria Astashova,26,170 cm,68 kg
267,50601,Val Voboril,42,62 in,135 lb
268,279817,Logan Filo-Loos,22,63 in,155 lb
269,292898,Jessi Harper,25,66 in,142 lb
270,1548101,Deyanira Jimenez,34,152 cm,60 kg
271,1979280,Svetlana Veselova,33,161 cm,63 kg
272,235218,Alethea Boon,37,160 cm,130 lb
273,669817,Brittany Power,30,68 in,140 lb
274,1332313,Alyssa Zuccaro,31,64 in,150 lb
275,143671,Whitney Stephenson,33,68 in,140 lb
276,313860,Stephanie Simmons,30,66 in,145 lb
277,113169,Megan O'Donnell,32,64 in,150 lb
278,99236,Claire Treanor,35,65 in,155 lb
279,537305,Alice Darlas,25,,127 lb
280,1826808,Anastasia Plekhanova,18,175 cm,70 kg
281,837605,Callista Lang,20,64 in,135 lb
282,887208,Briony Challis,21,,58 kg
283,189093,Kelly Abney,38,,
284,619657,Lindsay Winn,39,,
285,189706,Chelsey Hughes,35,65 in,135 lb
286,1424531,Jessica Kalagian,27,62 in,140 lb
287,1269280,Maria Włoch,26,174 cm,
288,2012971,Alexia Williams,22,,
289,761350,Nicole Soto,34,,138 lb
290,1696808,Ylva Stålnacke,28,176 cm,75 lb
291,1232143,Kiara Priscilla Schneider,18,164 cm,67 kg
292,958501,Madie Edwards,27,66 in,155 lb
293,116926,Karine Shrum,32,172 cm,158 lb
294,635438,Simona Quintana,25,167 cm,65 kg
295,109933,Aneta Tucker,37,160 cm,64 kg
296,1281780,Lu Frey,22,164 cm,62 kg
297,254824,Solveig Sigurdardottir,26,170 cm,150 lb
298,647048,Alaina Savage,28,,
299,382954,Sara Pinto,32,162 cm,61 kg
300,894860,Brooke Tuatao,40,166 cm,68 kg
301,139298,Briana Gaipa,36,66 in,145 lb
302,1969745,Anna Torseld,31,158 cm,60 kg
303,120412,Kerri Lee,35,64 in,155 lb
304,566280,Allison Carley,43,66 in,142 lb
305,1983424,Elisa Fuliano,25,,
306,116246,Belinda Bekker,33,158 cm,59 kg
307,1096363,Mirka Henriksson,28,165 cm,61 kg
308,1081253,Kerri Hewitt,25,167 cm,65 kg
309,483527,Melissa Geaney,38,63 in,138 lb
310,1381546,Ali Thomason,27,69 in,155 lb
311,1022261,Katelynn Sanders,28,67 in,165 lb
312,996866,Laurie Clément,34,159 cm,60 kg
313,272888,Samantha Tolbert,34,64 in,145 lb
314,503203,Emma Wright,29,165 cm,69 kg
315,828402,Ione Tainta,25,,
316,1232297,Alex Willis,19,66 in,150 lb
317,501760,Katie Sondag,31,64 in,150 lb
318,755032,Kristen Turner,29,64 in,131 lb
319,363673,Rachel Knox,31,165 cm,68 kg
320,130151,Sarah Viets,31,70 in,165 lb
321,1427328,Julia Blazejowska,20,160 cm,57 kg
322,1101838,Adriana Valeska,25,,
323,322048,Brittany Weiss,26,67 in,138 lb
324,1442512,Dayana Vicentelli,27,,
325,689196,Alina Aleksandrova,25,156 cm,58 kg
326,963787,Madeline Helms,24,63 in,135 lb
327,1018237,Brynn Carrick,22,68 in,135 lb
328,103786,Cecilia Ramirez Villamil,32,163 cm,150 lb
329,2753,Kaitlynne Rahner,28,170 cm,79 kg
330,745189,Fransiela Jiménez,19,163 cm,135 lb
331,421299,Deanna Posey,42,66 in,148 lb
332,9440,Anna Tobias,38,167 cm,143 lb
333,807114,Kenzie Nolte,25,,
334,725674,Guadalupe Machado,22,159 cm,63 kg
335,496011,Taylor Lawson,29,68 in,145 lb
336,423007,Simone Arthur,27,159 cm,59 kg
337,45491,Jennifer Smith,35,66 in,137 lb
338,264796,Lois Smith,29,173 cm,70 kg
339,534813,Sanna Venäläinen,30,164 cm,63 kg
340,466820,Jacqui Mims,38,,125 lb
341,313257,Hope Cicero,38,61 in,135 lb
342,280125,Dawon Jung,26,170 cm,65 kg
343,1535703,Evelin Cappelletti,29,160 cm,62 kg
344,270917,Dorothy Morentin,29,64 in,155 lb
345,1055578,Akiko Kamitani,32,154 cm,52 kg
346,262121,Hanna Moisander,31,,129 lb
347,120247,Katelin Van Zyl,29,171 cm,68 kg
348,528509,Elli Stenfors,24,,
349,147562,Lauren Gravatt,35,66 in,145 lb
350,107619,Laken Watt,30,157 cm,60 kg
351,119107,Alexis Burgan,26,61 in,135 lb
352,1155085,Lauren Merrill,32,64 in,150 lb
353,527325,Susana Etto,37,155 cm,65 kg
354,756237,Emily Fenech,26,167 cm,73 kg
355,1119795,Jessica Borg Ghigo,37,167 cm,70 kg
356,963029,Caitlyn O'Leary,21,68 in,150 lb
357,872073,Laura Sanchez,21,159 cm,62 kg
358,801919,MIchelle Palmer,36,69 in,158 lb
359,881902,Amber Perron,30,165 cm,153 lb
360,121324,Christine Middleton,31,66 in,155 lb
361,254313,Jessica Griffith,29,66 in,150 lb
362,456619,Oana Catalina Chelmus,34,160 cm,58 kg
363,690438,Eva Rodrigues,27,165 cm,59 kg
364,1024482,Hannah Phipson,29,,
365,78663,Hollye Henderson,32,64 in,138 lb
366,1190953,Danielle Ford,25,,
367,573055,Nelli Nurmi,27,171 cm,69 kg
368,653674,Philippa Clarke,24,68 in,155 lb
369,107129,Kelly Friel,43,170 cm,72 kg
370,490114,Rachel Valoura,31,160 cm,138 lb
371,1223697,Sierra Tjelmeland,26,62 in,130 lb
372,12611,Chely Galvan,31,65 in,135 lb
373,315131,Tara Demers,31,68 in,142 lb
374,219904,Kat Grillo,29,61 in,135 lb
375,1769872,Hayley Hunter,25,,
376,730608,Jelena Bekkers,34,165 cm,
377,101929,Dina Swift,32,178 cm,80 kg
378,630639,Santa Ozolina,28,174 cm,73 kg
379,1788036,Olivia Johansson,25,170 cm,68 kg
380,991263,Martine Solheim,27,174 cm,69 kg
381,293089,Rachel Schreiber,28,67 in,145 lb
382,1151619,Emily White,27,69 in,170 lb
383,516529,Laura Nielsen,43,63 in,145 lb
384,216602,Katrina LaClair,38,62 in,135 lb
385,238026,Anastasiya Ganina,36,170 cm,69 kg
386,297735,Danielle Kearns,27,67 in,172 lb
387,309398,Synne Krokstad,29,169 cm,69 kg
388,761015,Emily Nussbaum,25,,
389,752382,Amy Kuchuk,26,61 in,135 lb
390,5512,Stacie Tovar,36,65 in,143 lb
391,103130,Laura Redman,37,65 in,135 lb
392,1720941,Vår Thurmann-Moe,22,168 cm,70 kg
393,270401,Brynn Kurlan,29,63 in,135 lb
394,134940,Renee-Claude Rioux,34,160 cm,130 lb
395,915592,Marina Fedenko,29,165 cm,72 kg
396,215510,Ralitza Koterlitzova,32,63 in,140 lb
397,256060,Laura Isopoussu,27,,
398,1381202,Ingrid Hodnemyr,26,172 cm,70 kg
399,952246,Cass Montgomery,29,,128 lb
400,686448,Delphine Taurines,29,162 cm,65 kg
401,1103442,Madeleine Persson,29,164 cm,69 kg
402,1464060,Zoé Hebert,19,,
403,839334,Taylor Sanders,32,,
404,1030062,Deidre Franzen,26,67 in,160 lb
405,1324028,Patricie Jezkova,27,161 cm,68 kg
406,1116065,Breanna Stemler,31,65 in,
407,743617,Addison DesRosiers,28,64 in,147 lb
408,154872,Lauren Sheehan,30,67 in,146 lb
409,506770,Maisa Ghanem,26,158 cm,55 kg
410,247463,Amanda Lindeberg Mathiasen,31,166 cm,132 lb
411,159601,Toya Nelson,28,62 in,133 lb
412,1502587,Brady Wallace,18,,
413,1212617,Bec Glenister,29,,
414,244983,Megan Markee,33,62 in,125 lb
415,934410,Hallgerður María Friðriksdóttir,20,,
416,151555,Erin Vandendriessche,30,67 in,145 lb
417,716089,Or Cohen,31,157 cm,60 kg
418,39917,Cristian Mathes,25,63 in,140 lb
419,279829,Amy Fryt,32,62 in,124 lb
420,1418811,Emma Gardner,18,,128 lb
421,434730,Hat Hewitt,32,166 cm,68 kg
422,15768,Lisa Warren,32,62 in,138 lb
423,300613,Luiza Marques,19,154 cm,58 kg
424,1013044,Satumaria Muukkonen,30,160 cm,60 kg
425,463187,Sian Peters,32,160 cm,59 kg
426,366316,Fatima Artola,36,5 in,135 lb
427,110918,Whitney Gelin,36,67 in,165 lb
428,300771,Ashleigh Wosny,23,67 in,147 lb
429,554143,Bailey Rogers,30,170 cm,77 kg
430,1465766,Carolina Serravalle,35,,
431,466656,Andrea Solberg,25,164 cm,135 lb
432,1212379,Georgia Pryer,21,167 cm,60 kg
433,703638,Kacey Wells,25,60 in,137 lb
434,1636809,Jeinny Lara,29,158 cm,60 kg
435,1083236,Isabel D'Avis,26,170 cm,63 kg
436,1264406,Iranzu Echeverria,29,169 cm,66 kg
437,872244,Christina Livaditakis,24,153 cm,67 kg
438,73708,Anna Stone,27,62 in,130 lb
439,142687,Tahni Lawler,25,,141 lb
440,101651,Joelene Neville,35,169 cm,75 kg
441,891169,Kseniia Trubetskaia,33,172 cm,69 kg
442,338688,Katie Cain,32,64 in,145 lb
443,33229,Amanda Norton,35,68 in,149 lb
444,1240398,Emily de Rooy,20,175 cm,76 kg
445,626711,Elin Ericson,30,,
446,1628225,Jana Geertz,21,172 cm,70 kg
447,527846,Marie-Pier Bonneau,21,163 cm,128 lb
448,74426,Chelsea Nicholas,33,66 in,150 lb
449,238419,Carla Frazier,33,62 in,140 lb
450,891313,Lauren Stallwood,26,169 cm,67 kg
451,475739,Oriana Martínez,25,167 cm,67 kg
452,406892,Tanya LaBell,35,61 in,135 lb
453,477664,Lauren Lovick,29,156 cm,54 kg
454,1140802,Valentina Magalotti,31,,
455,502710,Janelle Hynes,23,66 in,145 lb
456,1334678,Jay-Lee Mansy,33,,
457,666939,Christelle El Debs,36,,
458,447516,Madeline Wurst,23,61 in,135 lb
459,283501,Rhoda Christenson,28,69 in,170 lb
460,882370,Paula Zikowsky,25,,
461,1544576,Seher Kaya,23,,
462,670481,Castell Pridgen,29,180 cm,172 lb
463,502705,Janette Hynes,23,65 in,59 kg
464,43782,Meaghan Gonzalez,36,64 in,149 lb
465,1182843,Cassie Gahm,31,,
466,65649,Rachel Krumm,33,59 in,125 lb
467,262343,Nicole Ninomiya,27,63 in,140 lb
468,1518913,Oihana Moya,25,165 cm,62 kg
469,1015823,Tahlia Treadwell,26,159 cm,58 kg
470,444939,Alizee Andreani,33,153 cm,51 kg
471,1057202,Kamila Takeyeva,26,167 cm,63 kg
472,26770,Carlie Stone,32,64 in,153 lb
473,1850145,Kinsey Caldwell,27,,
474,129018,Alex Smith,31,67 in,151 lb
475,729065,Kayla Kelly,27,,
476,1115677,Iiris Rosenlof,20,166 cm,60 kg
477,1527330,Ashley Jerue,25,66 in,140 lb
478,579446,Charlie Wells,35,155 cm,60 kg
479,471846,Jessica Deary,34,60 in,125 lb
480,1104015,Giulia Roggio,41,163 cm,54 kg
481,8342,Elyse Umeda-Korth,36,62 in,125 lb
482,710748,Holly Hiney,26,,
483,149643,Tammy Wildgoose,35,63 in,140 lb
484,2077209,Abigail Thompson,23,,
485,1453224,Cody Veteto,28,,
486,702669,Paula Rmz Mtz,25,,
487,4376,Anita Pravatti,35,174 cm,160 lb
488,297651,Julie Simon,30,165 cm,145 lb
489,26014,Sheena Hammer,37,61 in,118 lb
490,953791,Shahad Budebs,26,160 cm,58 kg
491,287152,Alice Guérin,29,,126 lb
492,275688,Briana Siegert,29,61 in,141 lb
493,592616,Alma Karadottir,36,,
494,237811,Allison Ralfs,28,68 in,165 lb
495,241667,Kathryn Fearon,32,165 cm,64 kg
496,1020076,Aizhan Zharasova,27,156 cm,56 kg
497,241117,Valerie Boileau,31,,145 lb
498,912831,Erin Duggan,28,62 in,140 lb
499,9748,Janine Shillington,38,66 in,160 lb
500,424955,Jessica Vetter,36,173 cm,66 kg
501,111445,Kelly Munroe,33,63 in,138 lb
502,755753,Sabrina Dellagiustina,30,,
503,268038,Angelica Bengtsson,34,168 cm,70 kg
504,2079146,Jane Silva,22,157 cm,56 kg
505,134498,Kristina Viga,26,,143 lb
506,810729,Victoria Finn-Smith,37,178 cm,69 kg
507,757575,Leanne Watson,29,,
508,631554,Cody Ksioszk,31,62 in,130 lb
509,133610,Sheree Willcox,34,161 cm,70 kg
510,1378662,Sandra Augustsson,28,,
511,333653,Dani Mosbrucker,27,68 in,155 lb
512,873165,Ana Valladares,24,155 cm,130 lb
513,993710,Claudia Amaral,29,2 cm,67 kg
514,753670,Hannah Grider,26,66 in,150 lb
515,72101,Kacie Wagner,36,65 in,140 lb
516,742557,Helen Nutter,28,164 cm,71 kg
517,314669,Amanda Bacetti,27,155 cm,58 kg
518,469280,Astrid Tind Petersen,26,179 cm,75 kg
519,1633809,Maddy Schuman,31,63 in,155 lb
520,345836,Victoria Frascolla,30,161 cm,59 kg
521,472658,Kristel Raab,34,60 in,130 lb
522,1200461,Gabrielle Spenst,23,67 in,162 lb
523,379759,Jenny Hunt,27,66 in,155 lb
524,2002735,Marika Seppälä,25,,
525,492922,Nicole Corriero,37,168 cm,175 lb
526,28735,Amy Alessi,30,154 cm,130 lb
527,121033,Sydney Wells,26,66 in,
528,1327786,Shelby Harris,25,,155 lb
529,537176,Gemma Rader,29,160 cm,68 kg
530,245923,Marissa Gaab,30,63 in,153 lb
531,1522489,Margret Burrell,22,,
532,1402199,Nicole Hunt,25,60 in,130 lb
533,3200,Dani Horan Jenny,33,66 in,148 lb
534,1282147,Megan Joy McDermott,29,168 cm,65 kg
535,754689,Victoria Hernandez,23,60 in,132 lb
536,205996,Erika Copeland,31,64 in,142 lb
537,1649792,Kaley Anderson,26,,
538,1623251,Melissa Houff,28,,
539,1013341,Robine Verhaegen,18,,
540,135495,Mallory Berger,36,62 in,140 lb
541,879115,Josee Gallant,29,5 in,126 lb
542,1753851,Mariana Aragon,18,165 cm,66 kg
543,358711,Desiree Genter,30,66 in,150 lb
544,617739,Melissa Herman,28,69 in,173 lb
545,193710,Erin Sims,40,167 cm,60 kg
546,650145,Kim Mullins,43,65 in,155 lb
547,982738,Audrey-Ann Perry-Dupuis,21,160 cm,119 lb
548,1408573,Emma Willis,26,,58 kg
549,1334213,Amy Wearne,36,,
550,754221,Megan Wall,27,,
551,1549019,Molly McGrandy,25,66 in,163 lb
552,1701405,Amber Davy,22,151 cm,53 kg
553,53766,Brittany Maready,25,66 in,160 lb
554,321694,Lindsey Grasis,30,67 in,155 lb
555,478216,Savannah Bishop,26,,
556,623498,Trish Adams,27,65 in,145 lb
557,535180,Bailey Bentley,23,,140 lb
558,108408,Delaina Snider,40,66 in,153 lb
559,3840,Erla Gudmundsdottir,41,163 cm,67 kg
560,878053,Mia Nightingale,19,64 in,138 lb
